step,train_loss,train_ppl,val_loss,val_ppl,lr,epoch,tok_per_sec,vram_gb,elapsed_sec
0,10.9966,59673.1,,,1.4999999999999998e-06,,34268,15.2,1.0
10,10.8528,51680.1,,,1.6499999999999998e-05,,50457,15.64,7.5
20,10.3659,31757.3,,,3.149999999999999e-05,,50347,15.64,14.0
30,9.6999,16316.1,,,4.65e-05,,50382,15.64,20.5
40,9.3953,12031.3,,,6.149999999999999e-05,,50259,15.64,27.0
50,9.1275,9205.3,,,7.65e-05,,50303,15.64,33.5
60,8.5073,4950.8,,,9.149999999999999e-05,,50366,15.64,40.0
70,8.024,3053.5,,,0.0001065,,50410,15.64,46.5
80,7.6345,2068.3,,,0.0001215,,50455,15.64,53.0
90,7.6864,2178.4,,,0.00013649999999999998,,50403,15.64,59.5
100,7.7022,2213.3,,,0.0001515,,252327,15.64,66.0
150,7.0397,1141.1,,,0.00022649999999999998,,50437,15.64,98.5
200,6.7538,857.3,,,0.0003,,50375,15.64,131.0
250,6.4083,606.9,6.2766,532.0,0.0002999972920620208,,45730,15.64,166.8
300,6.2931,540.8,,,0.00029998916835671937,,50341,15.64,199.4
350,6.0851,439.3,,,0.00029997562920999906,,50355,15.64,231.9
400,5.8295,340.2,,,0.00029995667516501806,,50357,15.64,264.4
450,5.8311,340.7,,,0.0002999323069821672,,50347,15.64,297.0
500,5.4558,234.1,5.685,294.4,0.0002999025256390394,,45845,15.64,332.7
550,5.4571,234.4,,,0.0002998673323303907,,50242,15.64,365.3
600,5.4197,225.8,,,0.0002998267284680921,,50535,15.64,397.8
650,5.4889,242.0,,,0.0002997807156810732,,50507,15.64,430.2
700,5.4028,222.0,,,0.0002997292958152565,,49968,15.64,463.0
750,5.3985,221.1,5.4118,224.0,0.00029967247093348363,,45750,15.64,498.8
800,5.5387,254.3,,,0.0002996102433154324,,50299,15.64,531.4
850,5.2021,181.6,,,0.0002995426154575255,,50382,15.64,563.9
900,5.2762,195.6,,,0.0002994695900728303,,50369,15.64,596.4
950,5.0675,158.8,,,0.00029939117009094993,,50386,15.64,628.9
1000,5.429,227.9,5.2147,184.0,0.0002993073586579058,,45764,15.64,664.7
1050,5.1144,166.4,,,0.0002992181591360115,,50480,15.64,697.2
1100,5.2514,190.8,,,0.0002991235751037377,,49941,15.64,730.0
1150,5.2731,195.0,,,0.00029902361035556864,,50341,15.64,762.5
1200,4.9607,142.7,,,0.0002989182689018503,,50337,15.64,795.1
1250,4.9803,145.5,5.0752,160.0,0.0002988075549686288,,45893,15.64,830.8
1300,5.1133,166.2,,,0.0002986914729974813,,50294,15.64,863.4
1350,4.8469,127.4,,,0.0002985700276453381,,50369,15.64,895.9
1400,4.8588,128.9,,,0.000298443223784295,,50220,15.64,928.5
1450,4.9412,139.9,,,0.0002983110665014187,,50384,15.64,961.0
1500,5.0091,149.8,4.9756,144.8,0.000298173561098542,,45839,15.64,996.8
1550,4.9772,145.1,,,0.0002980307130920518,,50315,15.64,1029.3
1600,5.0244,152.1,,,0.0002978825282126671,,50350,15.64,1061.9
1650,4.9022,134.6,,,0.0002977290124052096,,50378,15.64,1094.4
1700,5.0412,154.6,,,0.00029757017182836505,,50335,15.64,1127.0
1750,4.5421,93.9,4.8589,128.9,0.0002974060128544361,,45884,15.64,1162.7
1800,4.7756,118.6,,,0.0002972365420690867,,50287,15.64,1195.2
1850,4.8578,128.7,,,0.0002970617662710781,,50201,15.64,1227.9
1900,4.4061,81.9,,,0.0002968816924719957,,50100,15.64,1260.6
1950,4.615,101.0,,,0.00029669632789596813,,50085,15.64,1293.3
2000,4.7273,113.0,4.7333,113.7,0.00029650567997937724,,45431,15.64,1329.4
2050,4.8931,133.4,,,0.0002963097563705598,,49367,15.64,1362.6
2100,4.7392,114.3,,,0.00029610856492950075,,49817,15.64,1395.4
2150,4.7549,116.1,,,0.0002959021137275178,,50106,15.64,1428.1
2200,4.9035,134.8,,,0.00029569041104693757,,50161,15.64,1460.8
2250,4.8175,123.7,4.7029,110.3,0.0002954734653807635,,45706,15.64,1496.6
2300,4.9032,134.7,,,0.00029525128543233495,,50158,15.64,1529.3
2350,4.6915,109.0,,,0.0002950238801149782,,50049,15.64,1562.0
2400,4.9194,136.9,,,0.00029479125855164865,,50347,15.64,1594.6
2450,4.1426,63.0,,,0.0002945534300745652,,50314,15.64,1627.2
2500,4.6085,100.3,4.6028,99.8,0.0002943104042248353,,45788,15.64,1662.9
2550,4.6576,105.4,,,0.0002940621907520729,,49841,15.64,1695.8
2600,4.6022,99.7,,,0.0002938087996140066,,50260,15.64,1728.4
2650,4.5151,91.4,,,0.0002935502409760807,,50282,15.64,1761.0
2700,4.6285,102.4,,,0.00029328652521104704,,50323,15.64,1793.5
2750,4.5625,95.8,4.5344,93.2,0.00029301766289854933,,45803,15.64,1829.3
2800,4.2975,73.5,,,0.000292743664824698,,50210,15.64,1862.0
2850,4.5381,93.5,,,0.0002924645419816381,,50203,15.64,1894.6
2900,4.3965,81.2,,,0.0002921803055671082,,50195,15.64,1927.2
2950,4.4278,83.7,,,0.0002918909669839909,,50100,15.64,1959.9
3000,4.5115,91.1,4.5053,90.5,0.00029159653783985585,,45886,15.64,1995.6
3050,3.4606,31.8,,,0.00029129702994649335,,50398,15.64,2028.1
3100,4.6071,100.2,,,0.00029099245531944134,,50330,15.64,2060.7
3150,4.605,100.0,,,0.00029068282617750266,,49856,15.64,2093.6
3200,4.5384,93.5,,,0.00029036815494225536,,50283,15.64,2126.1
3250,4.5864,98.1,4.4085,82.1,0.0002900484542375541,,45392,15.64,2162.2
3300,4.344,77.0,,,0.0002897237368890237,,50326,15.64,2194.8
3350,4.2762,72.0,,,0.0002893940159235448,,50309,15.64,2227.4
3400,4.7219,112.4,,,0.0002890593045687311,,50234,15.64,2260.0
3450,4.4307,84.0,,,0.00028871961625239877,,50491,15.64,2292.4
3500,4.4917,89.3,4.4286,83.8,0.0002883749646020277,,46360,15.64,2327.8
3550,4.7175,111.9,,,0.0002880253634442148,,50494,15.64,2360.2
3600,4.5441,94.1,,,0.0002876708268041193,,50470,15.64,2392.7
3650,4.4646,86.9,,,0.0002873113689049004,,50526,15.64,2425.1
3700,4.6606,105.7,,,0.00028694700416714603,,50439,15.64,2457.6
3750,4.1452,63.1,4.4139,82.6,0.000286577747208295,,46344,15.64,2492.9
3800,4.4873,88.9,,,0.0002862036128420501,,50490,15.64,2525.4
3850,4.3908,80.7,,,0.00028582461607778406,,50493,15.64,2557.8
3900,4.1803,65.4,,,0.0002854407721199374,,50511,15.64,2590.3
3950,4.4715,87.5,,,0.0002850520963674083,,50554,15.64,2622.7
4000,4.2201,68.0,4.4399,84.8,0.0002846586044129351,,46325,15.64,2658.0
4050,4.1989,66.6,,,0.0002842603120424704,,50511,15.64,2690.5
4100,4.3231,75.4,,,0.0002838572352345482,,50488,15.64,2722.9
4150,4.3376,76.5,,,0.0002834493901596424,,50484,15.64,2755.4
4200,4.3638,78.6,,,0.00028303679317951856,,50504,15.64,2787.8
4250,3.9762,53.3,4.3632,78.5,0.0002826194608465771,,45607,15.64,2823.8
4300,4.5084,90.8,,,0.0002821974099031895,,50433,15.64,2856.2
4350,3.8894,48.9,,,0.0002817706572810266,,50543,15.64,2888.7
4400,4.3708,79.1,,,0.0002813392201003792,,50525,15.64,2921.1
4450,4.0532,57.6,,,0.0002809031156694714,,50507,15.64,2953.5
4500,4.2986,73.6,4.3279,75.8,0.00028046236148376625,,45725,15.64,2989.4
4550,4.196,66.4,,,0.0002800169752252637,,50412,15.64,3021.9
4600,4.2789,72.2,,,0.0002795669747617914,,50528,15.64,3054.3
4650,1.5917,4.9,,,0.0002791123781462877,,50607,15.64,3086.7
4700,4.1557,63.8,,,0.00027865320361607774,,50588,15.64,3119.0
4750,4.3789,79.8,4.3065,74.2,0.00027818946959214157,,45850,15.64,3154.8
4800,4.2153,67.7,,,0.00027772119467837496,,50574,15.64,3187.2
4850,4.3152,74.8,,,0.0002772483976608436,,50609,15.64,3219.5
4900,4.4414,84.9,,,0.00027677109750702886,,50593,15.64,3251.9
